stt,category,group,question,answer
118,Bao hiem,,"Tôi mua nhà và đã có bảo hiểm từ trước, nay tôi muốn sử dụng ngôi nhà làm tài sản thế chấp tại Ngân hàng. Như vậy, tôi có cần mua thêm bảo hiểm tại Techcombank không?","Để đảm bảo an toàn cho tài sản của Khách hàng đồng thời hỗ trợ ngân hàng quản trị rủi ro, tại các ngân hàng hiện nay trong đó có Techcombank có yêu cầu thời hạn của hợp đồng bảo hiểm nhà ít nhất một năm trở lên.

Như vậy, nếu Khách hàng đã mua bảo hiểm nhà từ trước, Khách hàng có thể kiểm tra xem thời gian đã mua bảo hiểm là bao lâu và nếu thiếu có thể mua bổ sung để đủ một năm hoặc được khuyến khích mua cho thời gian còn lại của khoản vay tại Ngân hàng."
119,Bao hiem,,Tôi mua nhà và được chủ dự án tặng bảo hiểm. Vậy hợp đồng bảo hiểm này có đủ tính hợp lệ để hoàn tất hồ sơ vay thế chấp tại Techcombank không?,"Đối với những hợp đồng Bảo hiểm Khách hàng mua hoặc được tặng tại Công ty Bảo hiểm nằm ngoài danh sách đối tác của Techcombank, bộ hồ sơ bảo hiểm sẽ được kiểm tra về tính đầy đủ, hợp lệ quy định của Ngân hàng. Nếu mua bảo hiểm của các đối tác bảo hiểm của Techcombank, Khách hàng sẽ không phải làm thủ tục này."
120,Bao hiem,,Quyền lợi cụ thể của sản phẩm cụ thể là gì?,"Khi khách hàng tham gia khoản vay tại Techcombank hoàn toàn yên tâm trong việc thu xếp trả nợ ngân hàng khi có những biến cố không lường trước trong cuộc sống. Cụ thể như:
Khi có sự kiện bảo hiểm xảy ra, như người được bảo hiểm không thể tạo ra thu nhập do nguyên nhân tai nạn hay sức khỏe dẫn đến Thương tật toàn bộ vĩnh viễn hay Tử vong.như: Thương tật toàn bộ & vĩnh viễn hay Tử vong. Công ty Bảo hiểm (Đối tác của Techcombank) sẽ thay mặt Khách hàng thanh toán toàn bộ dư nợ còn lại của khoản vay của Khách hàng cho Techcombank."
121,Bao hiem,,"Nếu tôi trả nợ trước thời hạn, tôi có được tiếp tục bảo hiểm hay không?","Hợp đồng bảo hiểm sẽ tự động chấm dứt sau khi Khách hàng thanh toán khoản vay (gốc và lãi) tại
Techcombank."
122,Bao hiem,,Khi tham gia sản phẩm này tại Techcombank có khác gì với một sản phẩm bảo hiểm nhân thọ bên ngoài?,"Thứ nhất, đây là một sản phẩm bảo hiểm tín dụng được Techcombank thiết kế riêng biệt dành cho khách hàng của mình. Chính vì vậy khoản phí rất thấp nhưng quyền lợi lại rất lớn và luôn đảm bảo tương đương khoản vay hiện tại của khách hàng.

Thứ hai là để tham gia một hợp đồng bảo hiểm nhân thọ ngoài thị trường đòi hỏi yêu cầu khá khắt khe về thủ tục và điều kiện tham gia.

Với dịch vụ mà Techcombank cung cấp sẽ hoàn toàn tiện ích cho khách hàng: Thủ tục đơn giản và chuyên nghiệp giúp khách hàng hoàn toàn yên tâm và thoải mái."
123,Bao hiem,,Thời gian bảo hiểm có hiệu lực đến khi nào?,Khách hàng sẽ được bảo hiểm trong suốt thời hạn của khoản vay mua nhà tại Techcombank.
124,Bao hiem,,Khi tham gia bảo hiểm tôi có phải đi khám sức khỏe không?,"Khách hàng chỉ phải trả lời trung thực một số câu hỏi liên quan cơ bản đến sức khỏe của mình. Phần lớn khách hàng không phải đi khám sức khỏe khi tham gia bảo hiểm. Tuy nhiên, căn cứ vào một số câu trả lời trong Hồ sơ yêu cầu bảo hiểm liên quan đến sức khỏe thì Công ty bảo hiểm sẽ xem xét từng trường hợp mời khách hàng đi khám. Dịch vụ khám sức khỏe là quyên lợi cho khách hàng và miễn phí."
125,Bao hiem,,Cả hai vợ chồng tôi đều được bảo hiểm có được không?,"Thông thường người được bảo hiểm chính là người tạo ra nguồn thu nhập chính cho gia đình. Tuy nhiên, cả 2 vợ chồng cũng có thể được bảo hiểm (Đồng bảo hiểm) trong hợp đồng, khi đó khách hàng phân bổ tỷ lệ % bảo hiểm cho 2 người và tổng quyền lợi bảo hiểm không vượt quá 100% giá trị khoản vay."
126,Bao hiem,,Khi xảy ra sự kiện bảo hiểm thì tôi liên hệ công ty bảo hiểm hay Techcombank?,Khách hàng có thể gọi cho đường dây nóng của Công ty Bảo hiểm (số điện thoại được ghi trong giấy chứng nhận bảo hiểm nhà của Khách hàng hoặc gọi đường dây nóng của Techcombank để được hướng dẫn và hỗ trợ.
127,Bao hiem,,Công ty Bảo hiểm sẽ bảo hiểm cho những trường hợp rủi ro nào?,Khi Khách hàng không còn khả năng để tạo thu nhập vì lý do rủi ro sức khỏe (tai nạn hoặc bệnh tật).
128,Bao hiem,,Chương trình bảo hiểm Du lịch toàn cầu được Techcombank mua tặng cho khách hàng hay Khách hàng phải tự chi trả phí để hưởng quyền lợi bảo hiểm và dịch vụ đi kèm?,Đây là sản phẩm mà Techcombank mua tặng ngay cho tất cả các khách hàng phát hành Thẻ thanh toán và tín dụng quốc tế Techcombank Visa loại Platinum.
129,Bao hiem,,Thời điểm bắt đầu hiệu lực của bảo hiểm Du lịch toàn cầu cho chủ thẻ Visa Platinum là khi nào?,Thời hạn bảo hiểm dành cho chủ thẻ tương đương với thời hạn sử dụng của thẻ Visa Platinum.
130,Bao hiem,,Quyền lợi của sản phẩm bảo hiểm du lịch toàn cầu dành cho chủ thẻ Techcombank Visa hạng Platinum cụ thể là gì?,"Chủ thẻ Visa Platinum của Techcombank được hưởng các quyền lợi bảo hiểm du lịch toàn cầu như sau:

Tóm tắt quyền lợi	Giới hạn tối đa cho mỗi chủ thẻ
Tử vong và thương tật do tai nạn	42.000.000 VNĐ
Người được bảo hiểm dưới 65 tuổi	10.500.000.000 VNĐ
Người được Bảo Hiểm từ 65 tuổi trở lên	5.250.000.000 VNĐ
Hành lý cá nhân bao gồm máy tính xách tay
Thanh toán cho tổn thất đối với hành lý, quần áo, tư trang, máy tính xách tay bị mất hoặc hư hỏng trong chuyến đi. (Tối đa 10.500.000 VNĐ đối với mỗi đồ vật hoặc cặp hoặc bộ đồ vật. Tối đa 21.000.000 VNĐ đối với máy tính xách tay)	42.000.000 VNĐ
Người được bảo hiểm: Mở rộng: Trong đó “Chủ thẻ”  ở đây được hiểu là “Chủ thẻ chính” hoặc “Chủ thẻ phụ” của một thẻ Visa Platinum vẫn còn giá trị sử dụng	Mở rộng bảo hiểm


Dịch vụ trợ giúp toàn cầu International SOS

Dịch vụ hỗ trợ & khẩn cấp toàn cầu luôn sẵn sàng 24/7 để hỗ trợ Người được bảo hiểm trong suốt chuyến đi và được cung cấp hoàn toàn MIỄN PHÍ. Chỉ cần thực hiện cuộc gọi đến tổng đài Trợ giúp Khẩn cấp của International SOS bất cứ lúc nào để nhận được các dịch vụ sau đây:

Đường dây nóng hỗ trợ toàn cầu 24/7 bao gồm cả tiếng Anh: 84-28 3827 5328

	Mở rộng bảo hiểm

(*) POS chỉ quẹt phí lần đầu (bao gồm topup) tương ứng với số tiền trong bảng minh họa."
131,Dau tu,,"Khách bán Chứng chỉ Quỹ phải trả các loại phí, thuế gì?",Phí Quỹ mua lại Chứng chỉ Quỹ và thuế Thu nhập cá nhân
132,Dau tu,,Số tiền tối thiểu khi KH mua Chứng chỉ Quỹ là bao nhiêu?,"10,000 VNĐ"
133,Dau tu,,Chứng chỉ Quỹ mở có niêm yết trên thị trường chứng khoán không?,"Khác với chứng chỉ Quỹ đóng đại chúng, chứng chỉ Quỹ mở không niêm yết. Khi có nhu cầu giao dịch khách hàng có thể giao dịch tại các Đại lý phân phối được chỉ định của quỹ."
134,Dau tu,,Kỳ hạn của Chứng chỉ bao lâu?,Chứng chỉ Quỹ không xác định kỳ hạn.
135,Dau tu,,"Khách mua Chứng chỉ Quỹ phải trả các loại phí, thuế gì?",Phí phát hành Chứng chỉ Quỹ (phí mua Chứng chỉ Quỹ) và Phí chuyển tiền (nếu có)
136,Dau tu,,Khách hàng có thể bán một phần Chứng chỉ Quỹ không?,"Có, tối thiểu 10 (mười) đơn vị Chứng chỉ Quỹ"
137,Dau tu,,NAV là gì?,"Là giá trị tài sản ròng của Quỹ, được xác định bằng tổng giá trị thị trường các tài sản và các khoản đầu tư do Quỹ sở hữu trừ đi các nghĩa vụ nợ của Quỹ được tính đến ngày gần nhất trước Ngày Định Giá."
138,Dau tu,,Ngày Giao dịch Chứng chỉ Quỹ là?,"Là ngày mà khách hàng có thể mua, bán, chuyển đổi Quỹ hoặc chuyển nhượng Đơn vị Quỹ. Hiện nay là tất cả các ngày làm việc trong tuần (không bao gồm thứ Bảy)"
139,Dau tu,,Khách hàng sở hữu bao nhiêu Chứng chỉ Quỹ mới được tham dự đại hội nhà đầu tư?,Chỉ cần là Nhà đầu tư đang sở hữu Chứng chỉ Quỹ
140,Dau tu,,Lệnh bán tối thiểu là bao nhiêu đơn vị Chứng chỉ Quỹ?,"10 (mười) đơn vị Quỹ, ngoại trừ trường hợp Lệnh Bán yêu cầu giảm số Đơn Vị Quỹ nắm giữ về 0 (không)"
141,Dau tu,,"Ngân hàng giám sát Quỹ TCBF, TCEF là ngân hàng nào?",Ngân hàng TNHH Một Thành Viên Standard Chartered (Việt Nam)
142,Dau tu,,Số dư Chứng chỉ Quỹ tối thiểu khách hàng phải giữ trong tài khoản đầu tư là bao nhiêu?,Không yêu cầu số dư tối thiểu
143,Dau tu,,Ngày khách hàng nhận tiền dự kiến khi bán Chứng chỉ Quỹ TCEF (ngày giao dịch gọi tắt là ngày T)?,"T+3 (không tính t7, CN, ngày nghỉ lễ)"
144,Dau tu,,Quỹ đầu tư trái phiếu là gì?,"Là quỹ mở đầu tư vào các loại trái phiếu, giấy tờ có giá với tỷ trọng đầu tư vào các tài sản này chiếm tối đa tám mươi phần trăm (80%) giá trị tài sản ròng."
145,Dau tu,,Thời điểm đóng sổ lệnh là gì?,"Là thời điểm cuối cùng Đại lý phân phối nhận lệnh mua, bán Chứng chỉ Quỹ của khách hàng"
146,Dau tu,,Khách mua Chứng chỉ Quỹ cần chuyển thành công tiền mua Chứng chỉ Quỹ đến tài khoản Quỹ lúc nào?,Trước thời điểm đóng số lệnh
147,Dau tu,,Ngày khách hàng nhận tiền dự kiến khi bán Chứng chỉ Quỹ TCBF (ngày giao dịch gọi tắt là ngày T)?,Ngày T
148,Dau tu,,Thời điểm đóng sổ lệnh là lúc nào nếu ngày giao dịch gọi là ngày T?,14h45 ngày T-1
149,Dau tu,,"Quỹ FlexiCA$H khác gì với quỹ TCBF, TCEF?","Chiến lược đầu tư và danh mục đầu tư của Quỹ FlexiCA$H khác với quỹ TCBF và TCEF. Quỹ FlexiCA$H đầu tư chủ yếu vào trái phiếu chính phủ, trái phiếu ngân hàng, chứng chỉ tiền gửi với khả năng thanh khoản cao và linh hoạt. Chính vì thế nhóm khách hàng Quỹ FlexiCA$H hướng tới là các khách hàng đầu tư ngắn hạn dưới 03 tháng với lãi suất kỳ vọng là 6%/năm."
150,Dau tu,,Quỹ FlexiCA$H là gì?,"Quỹ FlexiCA$H là tên viết tắt của Quỹ Đầu tư Trái phiếu Linh hoạt Techcom, một quỹ mở được quản lý bởi Công ty Quản lý Quỹ Kỹ Thương."
151,Dau tu,,Giá trị tối thiểu của một hợp đồng mua bán trái phiếu doanh nghiệp iBond là bao nhiêu?,1 triệu VNĐ mệnh giá trái phiếu
152,Dau tu,,Khách hàng có thể tham gia đặt mua trái phiếu doanh nghiệp iBond vào những ngày nào?,"Tất cả các ngày làm việc (trừ ngày nghỉ, ngày lễ)"
153,Dau tu,,Khách hàng mua trái phiếu iBond được cầm cố thế chấp trái phiếu để vay tại Techcombank?,"Có, đối với các trái phiếu được Techcombank phê duyệt nhận làm tài sản đảm bảo vay cầm cố theo chính sách cho vay của Techcombank tại từng thời kỳ"
154,Dau tu,,Lãi suất đầu tư cuối kỳ trái phiếu iBond theo thông báo của TCBS có phải chịu thuế thu nhập cá nhân nữa không?,Không. Lãi suất đầu tư khách hàng nhận được là giá trị sau thuế
155,Dau tu,,"Chính sách ""Mua càng lớn, giá càng nhỏ"" áp dụng cho đối tượng khách hàng nào?","Tất cả các khách hàng mua trái phiếu doanh nghiệp iBond Prix của TCBS. Mức ưu đãi sẽ áp dụng theo các mức tương ứng với số tiền khách hàng đã và đang đầu tư vào trái phiếu tại TCBS. Cụ thể khách hàng sẽ được hưởng 2 ưu đãi trong 1 lần đầu tư:

Các mức ưu đãi bậc thang trên giá trị giao dịch đang thực hiện (tính theo mệnh giá trái phiếu) (VIP 1)
Các mức ưu đãi tính trên Phân hạng theo quy định về xếp hạng khách hàng tại TCBS  (VIP2)"
156,Dau tu,,Khách mua trái phiếu doanh nghiệp iBond có được nhận lãi trái phiếu (coupon) theo quy định của trái phiếu?,"Khách hàng mua trái phiếu được hưởng toàn bộ quyền lợi của Người sở hữu trái phiếu, bao gồm quyền nhận lãi trái phiếu (nếu Khách hàng vẫn sở hữu trái phiếu tại ngày chốt quyền gần nhất trước ngày trả lãi)"
157,Dau tu,,"Sau khi hoàn thành giao dịch mua trái phiếu iBond, TCBS cung cấp cho tôi giấy tờ gì?","Khách hàng có thể xem lại bộ hợp đồng online đã ký tại TCInvest. Ngoài ra, TCBS có thể cấp cho khách hàng 1 bản Xác nhận giao dịch tải từ hệ thống TCInvest."
158,Dau tu,,Chương trình Trái tức sinh lời áp dụng khi nào?,"- Khi đặt mua trái phiếu iBond (bao gồm các giao dịch mua trong iConnect), khách hàng có thể chọn tham gia chương trình trái tức sinh lời
- Khi tham gia Chương trình trái tức sinh lời, Khách hàng được tự động đầu tư trái tức vào các Quỹ, ví dụ như: TCBF/TCEF/TCFF"
159,Dau tu,,"Đối với sản phẩm iBond Pro 180, Khách hàng có thể có các kỳ hạn đầu tư nào?",Bằng kỳ hạn còn lại của trái phiếu hoặc tại các ngày tròn 6 tháng kể từ ngày mua (ngày môi giới thể hiện chi tiết tại Hợp đồng môi giới) với điều kiện không xảy ra sự kiện vi phạm theo Bản Công Bố thông tin của trái phiếu thể hiện bằng việc trái phiếu bị trái chủ gửi yêu cầu tuyên bố trái phiếu đến hạn.
160,Dau tu,,"Đối với sản phẩm iBond Pro 360, Pro180, Pro90, vào ngày môi giới cuối cùng, nếu khách hàng lựa chọn tiếp tục giữ trái phiếu đến ngày đáo hạn thì phải làm thủ tục gì?",Khách hàng không phải làm gì cả.
161,Dau tu,,Thời hạn vay của sản phẩm cho vay cầm cố trái phiếu?,Theo quy định của TCB theo từng thời kỳ đối với mỗi loại sản phẩm
162,Dau tu,,"Đối với sản phẩm iBond Pro 90, Khách hàng có thể có các kỳ hạn đầu tư nào?",Bằng kỳ hạn còn lại của trái phiếu hoặc tại các ngày tròn 3 tháng kể từ ngày mua (ngày môi giới thể hiện chi tiết tại Hợp đồng môi giới) với điều kiện không xảy ra sự kiện vi phạm theo Bản Công Bố thông tin của trái phiếu thể hiện bằng việc trái phiếu bị trái chủ gửi yêu cầu tuyên bố trái phiếu đến hạn.
163,Dau tu,,Ý nghĩa của chương trình Trái tức sinh lời?,"Lãi coupon trả định kỳ mà khách hàng nhận được khi mua sẽ được TCBS tự động đặt mua chứng chỉ quỹ TCBF/TCEF/TCFF,... để tái đầu tư giúp khách hàng nhận được lợi nhuận cao hơn. Lãi sinh lãi."
164,Dau tu,,"Khi chọn chương trình trái tức sinh lời, khách hàng có phải thao tác gì vào mỗi dịp trả coupon không?","Không, TCBS sẽ tự động thực hiện đặt lệnh cho khách hàng"
165,Dau tu,,Tôi có nhu cầu bán lại trái phiếu sau 9 tháng thì nên chọn nhu cầu nào?,Quý khách có thể chọn nhu cầu Dòng tiền định sẵn hoặc Tích lũy bền vững (với mã trái phiếu còn 9 tháng nữa sẽ đáo hạn)
166,Dau tu,,"Đối với sản phẩm iBond Pro 360, Khách hàng có thể có các kỳ hạn đầu tư nào?",Bằng kỳ hạn còn lại của trái phiếu hoặc tại các ngày tròn 12 tháng kể từ ngày mua (ngày môi giới thể hiện chi tiết tại Hợp đồng môi giới) với điều kiện không xảy ra sự kiện vi phạm theo Bản Công Bố thông tin của trái phiếu thể hiện bằng việc trái phiếu bị trái chủ gửi yêu cầu tuyên bố trái phiếu đến hạn.
167,Dau tu,,Sản phẩm trái phiếu iBond nào không có ngày và số lần môi giới được xác định trước?,iBond Prix là sản phẩm không kèm hợp đồng môi giới. Khách hàng có nhu cầu bán lại có thể sử dụng thỏa thuận trái phiếu iConnect
168,Dau tu,,Tôi muốn nắm giữ trái phiếu đến đáo hạn thì nên chọn nhu cầu nào?,Quý khách có thể chọn Nhu cầu tích lũy bền vững hoặc Dòng tiền định sẵn (thời gian nắm giữ bằng thời gian tính đến lúc trái phiếu đáo hạn)
169,Dau tu,,"Trong giao dịch ""Mua càng lớn, giá càng nhỏ"", khi nào 01 hợp đồng được tính vào tài sản đang nắm giữ của khách hàng, và là cơ sở để tính cho mức điều chỉnh giảm giá VIP2 cho giao dịch tiếp theo?","Khi giao dịch được ghi nhận đã thanh toán (TCBS cắt tiền thành công, gửi tin nhắn xác nhận cho khách hàng)."
170,Dau tu,,"Trong chương trình ""Trái tức sinh lời"", coupon sẽ được tái đầu tư vào sản phẩm nào?",Hiện TCBS  đang tái đầu tư vào quỹ TCBF/TCEF/TCFF/... Các sản phẩm đầu tư này đang tăng trưởng rất ổn định lên đến 10%/năm.
171,Dau tu,,Nếu không được bán trái phiếu trên iConnect thì tôi có được chuyển nhượng cho nhà đầu tư khác không? Thủ tục thế nào?,"Quý khách có thể chủ động chuyển nhượng cho nhà đầu tư khác bằng cách ký hợp đồng chuyển nhượng tại trụ sở của TCBS
Lưu ý: TCBS không hỗ trợ tìm đối tác và tính giá."
172,Dau tu,,Vì sao cùng một mã trái phiếu nhưng chọn nhu cầu khác nhau thì lãi suất lại khác nhau?,"Giá sẽ được chiết khấu dựa trên thời gian nắm giữ trái phiếu, thời gian nắm giữ càng dài thì chiết khấu giá càng nhiều, lãi suất khách hàng nhận được sẽ càng cao."
173,Dau tu,,Sản phẩm Đầu tư linh hoạt là gì?,"Sản phẩm đáp ứng nhu cầu của những khách hàng năng động, mua đi bán lại trái phiếu để quay vòng liên tục nhằm kiếm lời. TCBS cung cấp giải pháp nền tảng giao dịch iConnect giúp khách hàng dễ dàng kết nối và mua bán bất kỳ lúc nào với quy mô giao dịch thành công hàng nghìn tỷ đồng/tháng."
174,Dau tu,,Vì sao đều là mã iBond nhưng khi chọn nhu cầu “Tích lũy bền vững” và “Dòng tiền định sẵn” lại không được bán trên iConnect?,"Hai sản phẩm này được xây dựng trên cơ sở đáp ứng nhu cầu đầu tư là lãi suất cao hoặc có đảm bảo thanh khoản. Đây là những ưu điểm vượt trội, khách hàng đã được nhận chiết khấu trên giá ngay khi mua so với các sản phẩm được bán lại trên iConnect."
175,Dau tu,,Sản phẩm Dòng tiền định sẵn là gì?,"Sản phẩm dành cho khách hàng có nhu cầu bán lại tại một thời điểm định sẵn (3-6-12 tháng...) với thanh khoản và lợi tức đầu tư được đảm bảo theo hợp đồng môi giới ký với TCBS. Loại trái phiếu này không được bán trên mục thỏa thuận trái phiếu iConnect trong thời hạn nắm giữ.
100% các hợp đồng Trái phiếu Định sẵn ký với TCBS đã được tất toán thành công đúng hạn đúng lãi suất trong toàn bộ lịch sử gần 1 thập kỷ của sản phẩm."
176,Dau tu,,"Sau khi đã thực hiện giao dịch thành công, tôi muốn thay đổi sản phẩm thì có được không?","Không. Sau khi giao dịch thành công, quý khách không thay đổi được lựa chọn của mình."
177,Dau tu,,"Đối với sản phẩm có ngày và số lần môi giới được xác định trước, thông tin này được thể hiện ở đâu?",Được thể hiện trong Hợp đồng môi giới bán trái phiếu (HD03)
178,Dau tu,,Sản phẩm Tích lũy bền vững là gì?,"Là sản phẩm đáp ứng nhu cầu đầu tư trái phiếu dài hạn, nắm giữ đến hết kỳ hạn trái phiếu với lãi suất cao hơn hẳn tiết kiệm."
179,Techcombank Mobile,,Ứng dụng Techcombank Mobile là gì?,"Là ứng dụng không chỉ giúp khách hàng chuyển tiền, thanh toán, quản lý tài chính cá nhân thuận tiện, dễ dàng và nhanh chóng mà còn giúp bạn có thể đăng ký mở tài khoản, đăng ký dịch vụ ngân hàng trực tuyến để sử dụng sản phẩm, dịch vụ của Techcombank ở bất cứ nơi đâu và bất kỳ lúc nào."
180,Techcombank Mobile,,Ứng dụng Techcombank Mobile có thể sử dụng trên thiết bị nào?,"Khách hàng có thể sử dụng ứng dụng Techcombank Mobile trên các thiết bị di động có hệ điều hành iOS từ 14.0 trở lên và Android 7.0 trở lên. Ngoài ra, Techcombank Mobile không được hỗ trợ cài đặt trên các thiết bị đã can thiệp ở mức độ hệ điều hành (jail break, unlock, rooted,...) nhằm bảo đảm an toàn bảo mật tài khoản và giao dịch của khách hàng."
181,Techcombank Mobile,,Điều kiện để có thể bắt đầu sử dụng được ứng dụng Techcombank Mobile?,"Khách hàng cần mở tài khoản thanh toán tại Techcombank, có thiết bị kết nối Internet và chạy hệ điều hành iOS 12.0 trở lên hoặc 7.0 trở lên với hệ điều hành Android để có thể cài đặt và sử dụng dịch vụ ngân hàng số của Techcombank.

Các khách hàng đang sử dụng F@st Mobile thì cần đảm bảo thêm yêu cầu đã đăng ký Smart OTP trước khi chuyển sang ứng dụng mới Techcombank Mobile.

Các khách hàng mới chưa sử dụng các sản phẩm, dịch vụ của Techcombank có thể đăng ký mở tài khoản và dịch vụ ngân hàng số trực tuyến ngay trên ứng dụng mà không cần tới quầy."
182,Techcombank Mobile,,Ứng dụng Techcombank Mobile có điểm gì khác biệt với ứng dụng F@st Mobile trước đây?,"Ứng dụng Techcombank Mobile mang nhiều ưu điểm và cải tiến vượt trội so với ứng dụng F@st Mobile trước đây nhằm đáp ứng được nhiều hơn nữa nhu cầu của mỗi khách hàng, với trải nghiệm mượt mà, sử dụng dễ dàng, và mức độ bảo mật cao hơn như:

- Công cụ chuyển khoản và thanh toán toàn diện giúp bạn chuyển khoản nhanh chóng, dễ dàng hơn; việc quản lý hóa đơn trở nên thuận tiện hơn với việc tích hợp hình thức chuyển khoản và thanh toán bằng mã QR.

- Tích hợp thêm với các sản phẩm như bảo hiểm và đầu tư giúp bạn dễ dàng quản lý các danh mục tài sản của mình ngay trên 1 ứng dụng duy nhất. Ngoài ra, bạn cũng có thể dễ dàng quản lý tài chính cá nhân với biểu đồ chi tiêu trực quan.

- Tài khoản của bạn sẽ được bảo vệ qua nhiều lớp bảo mật từ việc chỉ được sử dụng ứng dụng trên một thiết bị duy nhất, xác thực bằng sinh trắc học như vân tay hay khuôn mặt, với giải pháp bảo mật hàng đầu, phòng chống giả mạo như ngăn chặn các thiết bị bẻ khóa truy cập ứng dụng."
183,Techcombank Mobile,,Sử dụng ứng dụng Techcombank Mobile có mất phí không?,Việc sử dụng Techcombank Mobile là hoàn toàn miễn phí.
184,Techcombank Mobile,,Tải ứng dụng Techcombank Mobile như thế nào?,"Khách hàng cần tải ứng dụng từ Apple Store (đối với hệ điều hành iOS) hoặc trên Google Play (đối với hệ điều hành Android), gõ từ khóa tìm kiếm ""Techcombank Mobile"", sau đó chọn Cài đặt để tải ứng dụng về thiết bị."
185,Techcombank Mobile,,Tôi có thể sử dụng Techcombank Mobile khi ở nước ngoài không?,Bạn có thể sử dụng ứng dụng Techcombank Mobile ở bất kỳ đâu và bất cứ lúc nào trên thiết bị có kết nối Internet.
186,Techcombank Mobile,,Tôi phải làm gì khi bị mất điện thoại cài đặt ứng dụng Techcombank Mobile?,Bạn vui lòng liên hệ tổng đài 1800 588 822 hoặc tới CN/PGD Techcombank gần nhất để được hỗ trợ tạm khóa dịch vụ ngân hàng số cho đến khi nhận được thông báo khác.
187,Techcombank Mobile,,"Tại sao bạn bè tôi đã được mời chuyển đổi từ F@st Mobile sang ứng dụng mới Techcombank Mobile, còn tôi thì chưa?","Để đảm bảo có thể hỗ trợ khách hàng chuyển đổi một cách tốt nhất, Techcombank sẽ chuyển đổi dần dần lần lượt từng nhóm khách hàng đang sử dụng F@st Mobile sang ứng dụng mới Techcombank Mobile. Techcombank sẽ gửi thông báo của ngân hàng thông qua ứng dụng F@st Mobile để mời khách hàng chuyển đổi. Vui lòng tiếp tục sử dụng F@st Mobile đến khi nhận được lời mời chuyển đổi bạn nhé."
188,Techcombank Mobile,,Tôi không tải được ứng dụng mới Techcombank Mobile?,"Ứng dụng Techcombank Mobile chỉ hỗ trợ cài đặt trên thiết bị không bị bẻ khóa, có hệ điều hành Android 7.0 trở lên hoặc iOS 12.0 trở lên. Bạn cần kiểm tra lại thông tin thiết bị và nâng cấp hệ điều hành của thiết bị để tải và sử dụng."
189,Techcombank Mobile,,Các bước chuyển đổi từ F@st Mobile sang Techcombank Mobile mà tôi cần thực hiện là gì?,"Sau khi đăng nhập F@st Mobile và nhận được lời mời trên ứng dụng F@st Mobile về việc chuyển đổi sang ứng dụng mới Techcombank Mobile, bạn cần thực hiện các bước sau:
Đọc giới thiệu về ứng dụng mới và các yêu cầu để chuyển đổi.Tạo mật khẩu mới và xác nhận lại, sau đó xác thực bằng Smart OTPTải ứng dụng Techcombank Mobile từ App Store/Google PlayMở ứng dụng, chọn ""Đăng nhập"", nhập tên đăng nhập và mật khẩu vừa tạo và nhập mã OTP gửi về số điện thoại đã đăng ký với TechcombankĐăng ký sinh trắc học và mã mở khóa
Sau khi hoàn tất các bước chuyển đổi trên, bạn có thể bắt đầu sử dụng ứng dụng Techcombank Mobile và tận hưởng những trải nghiệm vượt trội mới."
190,Techcombank Mobile,,"Sau khi chuyển sang ứng dụng mới Techcombank Mobile, tôi không thể sử dụng F@st i-Bank tại địa chỉ ib.techcombank.com.vn được nữa?","Trong tháng 11/2021, Techcombank ra mắt ứng dụng ngân hàng số Techcombank Mobile, kênh giao dịch ngân hàng điện tử Internet banking (Online banking) sẽ ra mắt vào tháng 12/2021. Khi bạn đã chuyển sang sử dụng hệ thống ngân hàng số mới thì sẽ không thể đăng nhập hệ thống ngân hàng điện tử cũ trước đây nữa, bao gồm cả F@st Mobile và F@st i-Bank."
191,Techcombank Mobile,,Tôi không còn tin nhắn SMS thông báo mật khẩu đăng nhập ngân hàng số do Techcombank cấp và chưa kịp kích hoạt dịch vụ. Tôi phải làm gì?,"Trường hợp bạn đã có thẻ Techcombank, bạn có thể sử dụng tính năng ""Quên mật khẩu"" trên ứng dụng để tạo mật khẩu đăng nhập mới. Trường hợp bạn chưa có thẻ Techcombank, vui lòng tới CN/PGD Techcombank gần nhất để được hỗ trợ cấp lại mật khẩu đăng nhập tạm thời."
192,Techcombank Mobile,,Tại sao tôi không nhận được mã OTP gửi từ Techcombank?,Mã OTP sẽ được Techcombank gửi đến số điện thoại đã đăng ký với ngân hàng của bạn. Ngoài ra bạn cần đảm bảo thiết bị của bạn không cài đặt chặn tin nhắn được gửi từ Techcombank đến số điện thoại này.
193,Techcombank Mobile,,Tôi có thể tạo mật khẩu đăng nhập ngân hàng số mới trùng với mật khẩu đăng nhập mặc định do Techcombank cấp được không?,"Không, bạn không thể tạo mật khẩu mới trùng với 3 mật khẩu gần nhất, bao gồm cả các mật khẩu tạm thời do Techcombank cấp."
194,Techcombank Mobile,,"Tôi đang ở nước ngoài, tôi có thể tiếp tục dùng ứng dụng ngân hàng số của Techcombank bình thường không?",Bạn có thể sử dụng dịch vụ trên Techcombank Mobile ở bất cứ nơi đâu với điện thoại di động có kết nối Internet và đã đăng ký dịch vụ chuyển vùng quốc tế nếu đang ở nước ngoài.
195,Techcombank Mobile,,Tôi có bắt buộc phải thiết lập sinh trắc học để sử dụng ứng dụng không?,"Việc thiết lập cho phép sử dụng sinh trắc học trên ứng dụng là không bắt buộc. Bạn có thể bỏ qua bước này và thực hiện thiết lập sau bằng cách bấm vào lựa chọn ""Để sau""."
